Description,Category
beautiful,0
"so what? 

what should i do? then promise to never edit on wikipedia and i will get unblocked??",0
"WTF! 

u fckin faggot ass mutha fcker u jus re-did and delted my work and my gay school! WTF IS UR PROMBLEM U GAY CHILD MOLESTER!!!!",0
"Great, I'm glad we managed to work this out.",0
"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",0
"you stink 
You suck HangingCurve/Blueboy96. Even if you admins block/ban us, we always come back with new accounts to destroy Wikipedia. (Oh wait you're not an admin anymore it seems. I wonder what happened... hahaha)",1
"crash rules 

The Rules of Wedding Crashing was created and deleted in January. It is totally unencyclopedic. In the Wedding Crashers article you should create a link to the rules on an external site. (You could take The Rules of Wedding Crashing to WP:DRV but there will be no support.)",0
"Wikipedia:Requests for arbitration/Husnock
Hello,

An Arbitration case in which you commented has been opened: Wikipedia:Requests for arbitration/Husnock.  Please add any evidence you may wish the arbitrators to consider to the evidence sub-page, Wikipedia:Requests for arbitration/Husnock/Evidence.  You may also contribute to the case on the workshop sub-page, Wikipedia:Requests for arbitration/Husnock/Workshop.

On behalf of the Arbitration Committee,—— Eagle 101 (Need help?)",0
"i want to speak to the manager. Do you... do you own Wikipedia now, sir Thomas? I hate you, you have no say in what I have say to the world on Wikipedia. I see your true colors, Tommy, they're ugly and gay. Like you.",1
"oh wow thanks for defending that guy who deleted everything i wrote.  how would you feel if you spent hours researching, only to have some jerkoff guy delete it?  you dont care.  you must hate me because im jewish.  you must be a nazi.",1
"Haha
Moron.. I told you to shut up.. -   

When you get unblocked I'm gonna ask them to permanently ban the IP so that you have to use an account. Now I am getting warnings because of you. Or rather because I called you a moron. What are you doing anyways?? Quit bangin on the walls!! -   

ROFL you got banned too!!! LMAO I am making breakfast and reading about Ancient Persia! When your kids get up come over bro. Um Sandstein what is your problem? I mean with 4twenty? If it really matter to you, he really didn't do anything offensive to me. If you are just being admin-troll, please stop? Deleting comments? Really? It's really not all this. Way too much attention over 2 brothers arguing man. I made some stupid decisions and twenty is trying to make me see an easier way and you ban him too? For telling me to behave? I don't think i am the only one who is confused here. Perhaps a cookie? Come on man really. 98.214.81.82",0
"leave michael keyo alone. his goat just died, i was just cheering him up. 

is ur school a farming school too?

where are mellon farms? do you live in africa?",0
"stupid 

This is stupid. Does anyone agree?",1
"""Haplogroup L lineages are relatively infrequent(less than 1%) throughout Europe with the exception of Iberia, where frequencies as high as 11.7% percent have been reported. These lineages had previously been associated with the African slave trade. However an analysis by Gonzalez et al revealed that most of the L lineages matched Northwest African L lineages rather than contemporary Sub-Saharan L lineages. The authors suggest this pattern indicates that most of the Sub-Saharan L lineages entered Iberia in prehistoric times rather than in more recent periods. 

Haplogroup L lineages are present at low frequencies in Eastern Europe. Though a high diversity of African mtDNA lineages have been detected, few lineages have accumulated enough mutations in Europe to form monophyletic clusters. Malyarchuk et al 2005 detected only two monophyletic clusters, L1b and L3b, in Russians with an estimated age no greater than 6,500 years. Malyarchuk et al 2008 identified African L1b, L2a, L3b, L3d and M1 clades in slavic populations at low frequencies. L1b, L3b and L3d had matches with West African populations, indicating that these lineages probably entered Europe through Iberia. One lineage L2a1a, appeared to be much older, indicating that it may have entered Europe in prehistoric times. This clade was possibly related to L2a1 clades identified in 10 individuals of Ashkenazi heritage from France, Germany, Poland, Romania and Russia. L2a lineages are widespread throughout Africa, as a result, the exact origins of this lineage are uncertain. 

""",0
"Fair enough.  I understand both of your opinions/thoughts.  I must say that Pokemon characters, and other fictious characters/objects/articles which flood ebay, certainly appear to be far less notable than the facets and buildings of a university.  I see what you mean in regards to the tennis courts though, etc...",0
wtf you temp block me for?,1
It seems like this has been happening to a lot of articles that are linked to from the main page lately.  Why don't you just stop people from editing the templates that are on the article of the day?,0
"wiki 

Wiki it's help my such important projects of office",0
"One of the videos i linked to did answer that, but was censored together with the rest(!), its kinda hard to take wikipedia seriously these days ( 91.145.38.53",0
"Added Picture

Added a picture of Maino, I took it, so don't worry about it being an infringement to someone's copyright.",0
"Hey Hamster Rodent
Wikipedia is for humans. 
Which part of Cemal Gursel picture tickled the fanny of your mummy? 
71.184.9.231",1
"""u are a fucking wanker!!!! There was no fucken pakistan or idependent state of pakistan before 1947!! infact most of the """"pakistanis"""" are real indians of the muslim faith which were conerted by the arabs. I hate you people that attempt to leach of indias majestic history before you pakistanis cant get your own food, own laguage ( urdu is at least 50% hindi), own identity and own land. India has given so much land to you, to avoid conflict ad now you want to take away our ancient civilisations??? I have had enough!!! Indus Valley was indian land, occupied by indian people!!! gOD GAVE INDIA TO THE INDIANS NOT THE PAKISTANIS.... REMEMBER, PAKISTAN IS INDIAN LAND.... SO IS KASHMIR AND JAMMU!!!

""",1
I shall do as I please you dirty double nigger wikifag,1
"Dear Snigbrook 

Your days are numbered, the stabbing knife is headed your way! Be prepared for HORRIBLE HORRIBLE THINGS!!!

P.S you are a fucking aspie hahaha",1
"Don't Talk
Googie Man, I got 2 simple words for you, Shut Up.   Let's see a guy who spends his time sitting at the computer editing wikipedia named Googie man, what can I say? You think bigger than me, you think you better than me?  You aint nothing.  Stop calling me a Rogue editer, that is  the corniest thing that I ever heard.   I know you are mad at me because I made fun of and replaced you horrible, terrible, ugly picture of Donnie Baseball, but calling me a rogue is the biggest outrage that I have ever seen.  Please delete that picture before all of us go blind, I would rather have no picture on the page then to have the worst picture in the history of the world on the page.  Don't ever delete my comments on any talk page ever again, I have the right to express my opinions. I am a villian but you just a hostage.  You can't stop the Reign of the King of Wikipedia.  Now go take some more pictures or something and stay outta my way. I'm out.",0
REDIRECT Talk:List of World Wrestling Entertainment alumni,0
"Protected edit request on 24 October 2015 

I cordially request you go fuck yourself

50.67.82.50",0
"I second that. Superracist shit, as if black haven't created a thing, evthing has been created by white. With no a reference btw.",1
"Thank you lucky, see what i can do for wikipedia? lol. i will contribue with sports a lot. Thats why i was sad that you guys deleted the teeterdil article. I play many sports -Thanks- Widereceiver19",0
"Copyright 
I am afraid that I have had to remove your contribution to Suraj Mal because you copy/pasted it from a website. Wikipedia takes copyright violations very seriously because of the legal implications. Please see WP:COPYRIGHT. Thanks. -",0
"""a """"demon-possessed pedophile"""" [pedophile alone wasn't enough]
    *""",1
"HELLO 

HELLO, YOU ARE AN ANTI ABORTIONIST CHRISTIAN.

THE POPE IS A BASTARD, PRIESTS ABUSE CHILDREN, BUSH IS A DICK, DWAIN IS A BASTARD, CATHOLICISM IS FAKE, I AM A SOCIALIST.

SO LONG,",0
"Request handled by:  

|}",0
The first THREE were rejected out of hand and the following half a dozen where similarly ditched. I could produce ANOTHER fukkin half a dozen but it that wouldn't matter to a pure PoS paid scumbag would it?,1
I still don't understand why Mcelite isn't blocked. That person has a racist agenda. And can you please unblock me?,0
"boring 

you have no sense in humor lemonparty.org=this site",0
fuck u i will do as i please,1
"Fat bastard. 

You are fat and I don't care if i am blocked because wikipedia admins rape babies!",1
"http://www.fireflysun.com/book/Wikipedia_user_page.php

FURTHER LIES FROM YOUR CROOK ASS BITCHES WILL RESULT IN ME LOBBYING STATE REPS, SENATORS, CONGRESSMEN, AND OTHERS TO SHUT YOU BASTARDS DOWN! I WILL GO ALL THE WAY TO THE SUPREME COURT. KISS MY ASS",0
"I'm an idiot , everybody knows that my page is inundated with complaints from people all of them harrassing me because I'm deleting thing I knopw nothing about.",0
"The International Jew The Worlds Foremost Problem is absolutely 100% an open source, un-copyrighted book because of its profound notoriety. This book is de facto open source, un-copyrightable, fair use, free distribution as over 100 million people in the last century have read this book because the #1 super genius who pioneered a revolution sponsored this book. Does anyone else see what is going on here in Wikipedia? Is there anyone out there who is disgusted by this concerted effort of censorship? Does anyone see a pattern here regarding certain topics and censorship? Just Curious!  

I ask for those of you out there who believe in freedom of speech to allow this URL http://www.solargeneral.com/pdf/TheInternationalJew.pdf

The International Jew

What do i have to do to bring arbitration to have this link added to this article without being deleted again ever? Am I wasting my time? is there a cabal here or is this just the bloody tooth and nail struggle to get additions on wikipedia? Someone please shine down on me with some illumination ;p",0
"Vandalism my ass. All text is vandalism. Just check the talk page, it is clasical market talk between Bulgarian and Greek editors who would do all in favor of the denial of the Macedonians.

Fuck you and whole Wikipedia. Who the hell gave you right to write my own history, to talk about my own feelings?",1
"On Sea World 

Sorry mate, we're working out the kinks in the program.  Its currently in V 0.0.6rc3 .  Thanks for letting me know! We'll use this information to improve it.",0
"The lang/dialect question is a problem all over the world, not just in India. When that research is out, we can cite it as well. —",0
"Re:Page moves 
Oh, okay. Thanks for the insight.",0
Otara Millionaires Club = 278 Ghits  only,0
"First of all, you people can't even take a smart-ass joke about your own favourite characters but don't mind screwing up pages of the people you hate such as The Ginyu Force and Cui.
You don't own these pages, I even went to the bother of shortening the descriptions down to make it easier for all of us. Huh how pointless, I should have expected immature villain-haters like you to do this. The fact is these pages originally had the Ginyu Force characters listed... and I wonder who came along and took it away????",1
"Then start quoting the damn cover instead of a message board!  Et tu, Brute?",1
"Fuck YOU!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 

The Iowa Idiots Are A Real Baseball Team!!!!
!!!!!!!!!!!!!  

Signed:

Pėņışmåń",1
"Wikistalker and sock puppet
Lay off.  I will have recourse.  You are not immune.   Stan",1
"Mikhail Lebedev 

This year, I was trolling the page Mikhail Lebedev. I meant it to be a bad joke but it is now ruining the scientist's reputation, as well as the privacy of many other legitimate researchers. Can you please delete the slander on the pages (Afd, talk page, and page itself) for me? You can delete the page if it is necessary. Thanks a lot.",0
"Your are awesome!  Wa-do Tsv-ge-na-li (Thanks my friend).  I will go through all the Ah-ni-yv-wi-ya postings when I get home.  I also spoke with Paul of the Ah-ni-ku-ta-ni and he relayed that a public unveiling of the ancient tablets is being scheduled, along with invitations to the public and researchers to hear the ancient stories told from these artifacts and the ancient writings in both english and the ancient dialect following completion of the council lodge this year.  I will post the dates for this event.  You may wish to come.  I will be there.  You are invited DES.",0
You Are a fuck head I'm not a vandal so suck cock ass master.  We'll talk after your done with your Mom.,1
"guns? 

I'm confused. I thought you kangaroos weren't allowed to have guns and your crazy government wasted a bunch of money buying them all back from you? 142.179.122.199",0
Your behaviour is unacceptable.,0
"Kits

Thanks for looking at this if you were going to replace the kits. I'd just like to know why wanted to replace the kits, because they had to much detail, surely the more detail there is the better. Also the kits you chose look nothing, except colour-wise, like the new kits and i think it is nice to have our actual clubs kits on the page.",0
High Efficiency Rifle,0
"I really do not see how i am acting immature, Klptyzm is an ignorant person, who has to tell everyone who he does not like that they will get blocked one Day. You will have you're Day of reckoning Klptyzm. Oh its ture.",0
